Kategoria,Podkategoria,Opis
Konfiguracja,Wymagania wstępne,"Docker zainstalowany na komputerze"
Konfiguracja,Wymagania wstępne,"Konto Google Workspace"
Konfiguracja,Wymagania wstępne,"Claude Desktop"
Konfiguracja,Google Cloud,"Projekt w Google Cloud Console"
Konfiguracja,Google Cloud,"Włączone API: Gmail, Calendar, Drive, Sheets"
Konfiguracja,Google Cloud,"Identyfikator klienta OAuth dla aplikacji Desktop"
Konfiguracja,Katalogi,"~/.mcp/google-workspace-mcp - konfiguracja MCP"
Konfiguracja,Katalogi,"~/Documents/workspace-mcp-files - pliki robocze"
Konfiguracja,Katalogi,"~/Library/Logs/Claude - logi serwera MCP"
Konfiguracja,Claude Desktop,"Plik konfiguracyjny: ~/.config/Claude/claude_desktop_config.json"
Konfiguracja,Claude Desktop,"Konfiguracja używa obrazu Docker: ghcr.io/aaronsb/google-workspace-mcp:latest"
Funkcjonalności,Gmail,"Wyszukiwanie wiadomości email z zaawansowanymi filtrami"
Funkcjonalności,Gmail,"Pobieranie pełnej treści wiadomości"
Funkcjonalności,Gmail,"Zarządzanie wersjami roboczymi i etykietami"
Funkcjonalności,Gmail,"Wysyłanie wiadomości"
Funkcjonalności,Calendar,"Przeglądanie wydarzeń w kalendarzu"
Funkcjonalności,Calendar,"Tworzenie nowych wydarzeń"
Funkcjonalności,Calendar,"Aktualizacja istniejących wydarzeń"
Funkcjonalności,Calendar,"Usuwanie wydarzeń"
Funkcjonalności,Drive,"Przeglądanie i wyszukiwanie plików"
Funkcjonalności,Drive,"Pobieranie zawartości plików"
Funkcjonalności,Drive,"Przesyłanie nowych plików"
Funkcjonalności,Drive,"Zarządzanie uprawnieniami dostępu"
Automatyzacja,Skrypty,"restore_config.sh - przywracanie konfiguracji"
Automatyzacja,Skrypty,"backup_config.sh - tworzenie kopii zapasowej konfiguracji"
Automatyzacja,Skrypty,"validate_config.sh - sprawdzanie poprawności konfiguracji"
Rozwiązywanie problemów,Logi,"Sprawdzanie logów serwera MCP w ~/Library/Logs/Claude/mcp-server-google-workspace-mcp.log"
Rozwiązywanie problemów,Autoryzacja,"Ponowna autoryzacja konta Google w przypadku problemów z dostępem"
Rozwiązywanie problemów,Docker,"Sprawdzanie statusu Dockera i dostępności obrazu"
Rozwiązywanie problemów,API,"Weryfikacja włączonych API w projekcie Google Cloud"
